# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.341447149    0.047518131    0.047518130    0.047518131
    4.351450483    0.048385198    0.048385198    0.048385198
    4.361453818    0.049287597    0.049287597    0.049287597
    4.371457152    0.050227602    0.050227602    0.050227602
    4.381460487    0.051207682    0.051207682    0.051207682
    4.391463821    0.052230521    0.052230520    0.052230521
    4.401467156    0.053299039    0.053299039    0.053299039
    4.411470490    0.054416422    0.054416421    0.054416421
    4.421473825    0.055586145    0.055586145    0.055586145
    4.431477159    0.056812014    0.056812013    0.056812013
    4.441480493    0.058098193    0.058098193    0.058098193
    4.451483828    0.059449257    0.059449257    0.059449257
    4.461487162    0.060870234    0.060870234    0.060870234
    4.471490497    0.062366665    0.062366664    0.062366665
    4.481493831    0.063944662    0.063944662    0.063944662
    4.491497166    0.065610991    0.065610991    0.065610991
    4.501500500    0.067373147    0.067373147    0.067373147
    4.511503835    0.069239459    0.069239459    0.069239459
    4.521507169    0.071219197    0.071219197    0.071219197
    4.531510504    0.073322711    0.073322710    0.073322711
    4.541513838    0.075561577    0.075561577    0.075561577
    4.551517172    0.077948782    0.077948782    0.077948782
    4.561520507    0.080498934    0.080498934    0.080498934
    4.571523841    0.083228509    0.083228508    0.083228509
    4.581527176    0.086156143    0.086156143    0.086156143
    4.591530510    0.089302988    0.089302988    0.089302988
    4.601533845    0.092693120    0.092693120    0.092693120
    4.611537179    0.096354041    0.096354040    0.096354041
    4.621540514    0.100317277    0.100317276    0.100317277
    4.631543848    0.104619101    0.104619101    0.104619101
    4.641547182    0.109301415    0.109301415    0.109301415
    4.651550517    0.114412816    0.114412815    0.114412815
    4.661553851    0.120009915    0.120009915    0.120009915
    4.671557186    0.126158963    0.126158963    0.126158963
    4.681560520    0.132937861    0.132937860    0.132937861
    4.691563855    0.140438680    0.140438680    0.140438680
    4.701567189    0.148770825    0.148770825    0.148770825
    4.711570524    0.158065039    0.158065038    0.158065039
    4.721573858    0.168478504    0.168478504    0.168478504
    4.731577192    0.180201403    0.180201403    0.180201403
    4.741580527    0.193465392    0.193465392    0.193465392
    4.751583861    0.208554668    0.208554667    0.208554667
    4.761587196    0.225820506    0.225820505    0.225820506
    4.771590530    0.245700544    0.245700544    0.245700544
    4.781593865    0.268744548    0.268744547    0.268744547
    4.791597199    0.295649117    0.295649117    0.295649117
    4.801600534    0.327304774    0.327304774    0.327304774
    4.811603868    0.364860209    0.364860209    0.364860209
    4.821607202    0.409810230    0.409810230    0.409810230
    4.831610537    0.464116033    0.464116033    0.464116033
    4.841613871    0.530368205    0.530368205    0.530368205
    4.851617206    0.612002463    0.612002463    0.612002463
    4.861620540    0.713570037    0.713570036    0.713570037
    4.871623875    0.841034616    0.841034615    0.841034616
    4.881627209    1.001981371    1.001981370    1.001981370
    4.891630544    1.205404580    1.205404579    1.205404580
    4.901633878    1.460251379    1.460251379    1.460251379
    4.911637212    1.771022700    1.771022699    1.771022700
    4.921640547    2.127950250    2.127950250    2.127950250
    4.931643881    2.491448073    2.491448072    2.491448073
    4.941647216    2.781895675    2.781895674    2.781895675
    4.951650550    2.902529036    2.902529035    2.902529035
    4.961653885    2.803939836    2.803939835    2.803939836
    4.971657219    2.527429329    2.527429329    2.527429329
    4.981660554    2.168348665    2.168348664    2.168348664
    4.991663888    1.809801126    1.809801125    1.809801125
    5.001667222    1.495127695    1.495127695    1.495127695
    5.011670557    1.236274911    1.236274911    1.236274911
    5.021673891    1.029599216    1.029599216    1.029599216
    5.031677226    0.866328261    0.866328260    0.866328261
    5.041680560    0.737378275    0.737378275    0.737378275
    5.051683895    0.635006411    0.635006411    0.635006411
    5.061687229    0.553097527    0.553097527    0.553097527
    5.071690564    0.486976433    0.486976432    0.486976433
    5.081693898    0.433112320    0.433112320    0.433112320
    5.091697232    0.388843743    0.388843743    0.388843743
    5.101700567    0.352157363    0.352157363    0.352157363
    5.111703901    0.321520187    0.321520187    0.321520187
    5.121707236    0.295755594    0.295755593    0.295755594
    5.131710570    0.273952641    0.273952640    0.273952641
    5.141713905    0.255399822    0.255399822    0.255399822
    5.151717239    0.239536545    0.239536544    0.239536545
    5.161720574    0.225917385    0.225917385    0.225917385
    5.171723908    0.214185577    0.214185577    0.214185577
    5.181727242    0.204053191    0.204053190    0.204053191
    5.191730577    0.195286196    0.195286195    0.195286196
    5.201733911    0.187693116    0.187693115    0.187693116
    5.211737246    0.181116335    0.181116335    0.181116335
    5.221740580    0.175425393    0.175425393    0.175425393
    5.231743915    0.170511763    0.170511763    0.170511763
