# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    4.661553851    3.302121070    3.302121069    3.302121070
    4.671557186    3.300430509    3.300430508    3.300430509
    4.681560520    3.298739572    3.298739571    3.298739572
    4.691563855    3.297048268    3.297048267    3.297048268
    4.701567189    3.295356607    3.295356606    3.295356607
    4.711570524    3.293664597    3.293664596    3.293664597
    4.721573858    3.291972248    3.291972248    3.291972248
    4.731577192    3.290279570    3.290279569    3.290279570
    4.741580527    3.288586570    3.288586570    3.288586570
    4.751583861    3.286893259    3.286893258    3.286893259
    4.761587196    3.285199646    3.285199645    3.285199645
    4.771590530    3.283505738    3.283505737    3.283505738
    4.781593865    3.281811546    3.281811545    3.281811546
    4.791597199    3.280117079    3.280117078    3.280117078
    4.801600534    3.278422344    3.278422343    3.278422344
    4.811603868    3.276727352    3.276727351    3.276727352
    4.821607202    3.275032110    3.275032109    3.275032110
    4.831610537    3.273336628    3.273336627    3.273336628
    4.841613871    3.271640915    3.271640914    3.271640915
    4.851617206    3.269944978    3.269944978    3.269944978
    4.861620540    3.268248828    3.268248827    3.268248828
    4.871623875    3.266552472    3.266552471    3.266552471
    4.881627209    3.264855918    3.264855918    3.264855918
    4.891630544    3.263159177    3.263159176    3.263159177
    4.901633878    3.261462255    3.261462255    3.261462255
    4.911637212    3.259765162    3.259765162    3.259765162
    4.921640547    3.258067906    3.258067906    3.258067906
    4.931643881    3.256370496    3.256370495    3.256370496
    4.941647216    3.254672939    3.254672939    3.254672939
    4.951650550    3.252975245    3.252975244    3.252975245
    4.961653885    3.251277421    3.251277420    3.251277421
    4.971657219    3.249579475    3.249579475    3.249579475
    4.981660554    3.247881417    3.247881416    3.247881417
    4.991663888    3.246183254    3.246183253    3.246183253
    5.001667222    3.244484993    3.244484993    3.244484993
    5.011670557    3.242786645    3.242786644    3.242786645
    5.021673891    3.241088216    3.241088215    3.241088215
    5.031677226    3.239389714    3.239389713    3.239389714
    5.041680560    3.237691148    3.237691147    3.237691147
    5.051683895    3.235992525    3.235992524    3.235992525
    5.061687229    3.234293854    3.234293853    3.234293853
    5.071690564    3.232595142    3.232595141    3.232595141
    5.081693898    3.230896397    3.230896396    3.230896397
    5.091697232    3.229197627    3.229197626    3.229197627
    5.101700567    3.227498840    3.227498839    3.227498840
    5.111703901    3.225800044    3.225800043    3.225800043
    5.121707236    3.224101245    3.224101245    3.224101245
    5.131710570    3.222402453    3.222402452    3.222402453
    5.141713905    3.220703675    3.220703674    3.220703674
    5.151717239    3.219004917    3.219004916    3.219004917
    5.161720574    3.217306189    3.217306188    3.217306188
    5.171723908    3.215607496    3.215607496    3.215607496
    5.181727242    3.213908848    3.213908847    3.213908848
    5.191730577    3.212210251    3.212210250    3.212210251
    5.201733911    3.210511713    3.210511712    3.210511713
    5.211737246    3.208813241    3.208813240    3.208813241
    5.221740580    3.207114842    3.207114842    3.207114842
    5.231743915    3.205416525    3.205416524    3.205416525
    5.241747249    3.203718295    3.203718294    3.203718295
    5.251750584    3.202020161    3.202020160    3.202020161
    5.261753918    3.200322130    3.200322129    3.200322130
    5.271757252    3.198624209    3.198624208    3.198624208
    5.281760587    3.196926404    3.196926403    3.196926404
    5.291763921    3.195228724    3.195228723    3.195228724
    5.301767256    3.193531175    3.193531174    3.193531175
    5.311770590    3.191833765    3.191833764    3.191833764
    5.321773925    3.190136499    3.190136499    3.190136499
    5.331777259    3.188439387    3.188439386    3.188439386
    5.341780594    3.186742433    3.186742432    3.186742433
    5.351783928    3.185045646    3.185045645    3.185045646
    5.361787262    3.183349032    3.183349031    3.183349032
    5.371790597    3.181652598    3.181652597    3.181652597
    5.381793931    3.179956350    3.179956350    3.179956350
    5.391797266    3.178260297    3.178260296    3.178260297
    5.401800600    3.176564444    3.176564443    3.176564443
    5.411803935    3.174868797    3.174868797    3.174868797
    5.421807269    3.173173365    3.173173364    3.173173365
    5.431810604    3.171478153    3.171478153    3.171478153
    5.441813938    3.169783169    3.169783168    3.169783169
    5.451817272    3.168088418    3.168088417    3.168088418
    5.461820607    3.166393907    3.166393906    3.166393907
    5.471823941    3.164699643    3.164699643    3.164699643
    5.481827276    3.163005633    3.163005632    3.163005633
    5.491830610    3.161311882    3.161311881    3.161311882
    5.501833945    3.159618398    3.159618397    3.159618398
    5.511837279    3.157925186    3.157925185    3.157925186
    5.521840614    3.156232253    3.156232252    3.156232253
    5.531843948    3.154539606    3.154539605    3.154539605
    5.541847282    3.152847250    3.152847249    3.152847250
