# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    1.780593531    4.085271757    4.085268187    4.085271889
    1.790596866    4.086538643    4.086535073    4.086538775
    1.800600200    4.087814362    4.087810792    4.087814494
    1.810603535    4.089098948    4.089095378    4.089099080
    1.820606869    4.090392437    4.090388866    4.090392568
    1.830610203    4.091694861    4.091691291    4.091694993
    1.840613538    4.093006258    4.093002688    4.093006390
    1.850616872    4.094326662    4.094323092    4.094326794
    1.860620207    4.095656110    4.095652540    4.095656242
    1.870623541    4.096994638    4.096991067    4.096994769
    1.880626876    4.098342282    4.098338711    4.098342413
    1.890630210    4.099699079    4.099695508    4.099699211
    1.900633545    4.101065068    4.101061497    4.101065199
    1.910636879    4.102440285    4.102436714    4.102440417
    1.920640213    4.103824770    4.103821199    4.103824901
    1.930643548    4.105218560    4.105214990    4.105218692
    1.940646882    4.106621696    4.106618125    4.106621827
    1.950650217    4.108034216    4.108030645    4.108034347
    1.960653551    4.109456160    4.109452589    4.109456291
    1.970656886    4.110887568    4.110883998    4.110887700
    1.980660220    4.112328483    4.112324912    4.112328614
    1.990663555    4.113778943    4.113775373    4.113779075
    2.000666889    4.115238992    4.115235421    4.115239124
    2.010670223    4.116708671    4.116705100    4.116708803
    2.020673558    4.118188023    4.118184452    4.118188155
    2.030676892    4.119677091    4.119673520    4.119677222
    2.040680227    4.121175917    4.121172346    4.121176049
    2.050683561    4.122684547    4.122680976    4.122684678
    2.060686896    4.124203023    4.124199452    4.124203155
    2.070690230    4.125731392    4.125727821    4.125731524
    2.080693565    4.127269698    4.127266127    4.127269830
    2.090696899    4.128817988    4.128814417    4.128818119
    2.100700233    4.130376306    4.130372735    4.130376438
    2.110703568    4.131944701    4.131941130    4.131944833
    2.120706902    4.133523220    4.133519649    4.133523351
    2.130710237    4.135111910    4.135108338    4.135112041
    2.140713571    4.136710819    4.136707248    4.136710950
    2.150716906    4.138319996    4.138316425    4.138320128
    2.160720240    4.139939491    4.139935920    4.139939623
    2.170723575    4.141569354    4.141565783    4.141569486
    2.180726909    4.143209635    4.143206064    4.143209767
    2.190730243    4.144860385    4.144856814    4.144860517
    2.200733578    4.146521655    4.146518084    4.146521787
    2.210736912    4.148193499    4.148189927    4.148193630
    2.220740247    4.149875967    4.149872396    4.149876099
    2.230743581    4.151569114    4.151565543    4.151569246
    2.240746916    4.153272994    4.153269422    4.153273125
    2.250750250    4.154987660    4.154984089    4.154987792
    2.260753585    4.156713169    4.156709597    4.156713300
    2.270756919    4.158449575    4.158446003    4.158449706
    2.280760253    4.160196935    4.160193363    4.160197066
    2.290763588    4.161955305    4.161951734    4.161955437
    2.300766922    4.163724745    4.163721173    4.163724876
    2.310770257    4.165505311    4.165501739    4.165505442
    2.320773591    4.167297062    4.167293490    4.167297193
    2.330776926    4.169100058    4.169096487    4.169100190
    2.340780260    4.170914360    4.170910788    4.170914491
    2.350783595    4.172740028    4.172736456    4.172740159
    2.360786929    4.174577123    4.174573551    4.174577254
    2.370790263    4.176425708    4.176422137    4.176425840
    2.380793598    4.178285847    4.178282275    4.178285978
    2.390796932    4.180157602    4.180154030    4.180157733
    2.400800267    4.182041038    4.182037466    4.182041170
    2.410803601    4.183936221    4.183932649    4.183936352
    2.420806936    4.185843216    4.185839644    4.185843347
    2.430810270    4.187762090    4.187758518    4.187762221
    2.440813605    4.189692911    4.189689339    4.189693042
    2.450816939    4.191635747    4.191632175    4.191635878
    2.460820273    4.193590667    4.193587095    4.193590798
    2.470823608    4.195557740    4.195554169    4.195557872
    2.480826942    4.197537039    4.197533467    4.197537170
    2.490830277    4.199528634    4.199525062    4.199528765
    2.500833611    4.201532598    4.201529026    4.201532729
    2.510836946    4.203549003    4.203545432    4.203549135
    2.520840280    4.205577926    4.205574354    4.205578057
    2.530843615    4.207619439    4.207615867    4.207619571
    2.540846949    4.209673620    4.209670048    4.209673752
    2.550850283    4.211740546    4.211736974    4.211740677
    2.560853618    4.213820293    4.213816721    4.213820425
    2.570856952    4.215912942    4.215909370    4.215913073
    2.580860287    4.218018571    4.218014999    4.218018703
    2.590863621    4.220137262    4.220133690    4.220137394
    2.600866956    4.222269097    4.222265525    4.222269228
    2.610870290    4.224414157    4.224410585    4.224414289
    2.620873625    4.226572528    4.226568955    4.226572659
    2.630876959    4.228744293    4.228740721    4.228744424
    2.640880293    4.230929539    4.230925966    4.230929670
    2.650883628    4.233128352    4.233124780    4.233128483
    2.660886962    4.235340821    4.235337249    4.235340953
    2.670890297    4.237567036    4.237563464    4.237567167
    2.680893631    4.239807086    4.239803513    4.239807217
    2.690896966    4.242061062    4.242057490    4.242061194
    2.700900300    4.244329059    4.244325486    4.244329190
    2.710903635    4.246611168    4.246607596    4.246611300
    2.720906969    4.248907487    4.248903914    4.248907618
    2.730910303    4.251218110    4.251214538    4.251218241
    2.740913638    4.253543136    4.253539564    4.253543267
    2.750916972    4.255882664    4.255879091    4.255882795
    2.760920307    4.258236793    4.258233220    4.258236924
    2.770923641    4.260605625    4.260602053    4.260605756
    2.780926976    4.262989264    4.262985691    4.262989395
    2.790930310    4.265387813    4.265384240    4.265387944
    2.800933645    4.267801378    4.267797805    4.267801509
    2.810936979    4.270230066    4.270226493    4.270230197
    2.820940313    4.272673986    4.272670413    4.272674117
    2.830943648    4.275133248    4.275129675    4.275133379
    2.840946982    4.277607963    4.277604390    4.277608094
    2.850950317    4.280098244    4.280094671    4.280098375
    2.860953651    4.282604206    4.282600633    4.282604337
    2.870956986    4.285125966    4.285122393    4.285126097
    2.880960320    4.287663640    4.287660068    4.287663772
    2.890963655    4.290217350    4.290213777    4.290217481
    2.900966989    4.292787215    4.292783642    4.292787346
    2.910970323    4.295373359    4.295369786    4.295373490
    2.920973658    4.297975906    4.297972333    4.297976037
    2.930976992    4.300594983    4.300591410    4.300595114
    2.940980327    4.303230719    4.303227146    4.303230850
    2.950983661    4.305883242    4.305879669    4.305883374
    2.960986996    4.308552687    4.308549113    4.308552818
    2.970990330    4.311239185    4.311235612    4.311239316
    2.980993665    4.313942874    4.313939301    4.313943005
    2.990996999    4.316663891    4.316660318    4.316664022
    3.001000333    4.319402376    4.319398803    4.319402507
    3.011003668    4.322158472    4.322154898    4.322158603
    3.021007002    4.324932322    4.324928749    4.324932453
    3.031010337    4.327724073    4.327720500    4.327724204
    3.041013671    4.330533875    4.330530301    4.330534006
    3.051017006    4.333361876    4.333358303    4.333362007
    3.061020340    4.336208232    4.336204659    4.336208363
    3.071023675    4.339073098    4.339069524    4.339073229
